STATION CODE,LOCATIONS,STATE,TEMP,DO,pH,CONDUCTIVITY,BOD,NITRATE_N_NITRITE_N,FECAL_COLIFORM,TOTAL_COLIFORM
2719,"WARDHA RIVER AT D/S OF ERAI RIVER, HADASTI, CHANDRAPUR.",MAHARASHTRA,26.1,5.1,8.1,369,11.3,1.1,140,220
2720,"WARDHA RIVER AT U/S OF ERAI RIVER, HADASTI, CHANDRAPUR.",MAHARASHTRA,24.9,6,8.2,403,8.9,1,90,130
2721,"WARDHA RIVER AT U/S OF ACC GHUGGUS, CHANDRAPUR.",MAHARASHTRA,23.9,6.2,8.2,458,8.9,2.2,110,140
2174,WARDHA RIVER D/S OF ACC GHUGGUS.,MAHARASHTRA,23.4,5.1,8.2,577,10.7,2.3,110,140
2156,WARDHA RIVER AT CONFLUENCE POINT OF PENGANGA & WARDHA AT JUAD.,MAHARASHTRA,24.4,5.4,8.1,678,10.6,2.7,50,80
1212,"WARDHA AT RAJURA BRIDGE, MAHARASHTRA",MAHARASHTRA,23.7,5.7,8.2,498,8.9,2.1,40,70
1213,"WAINGANGA AT BALAGHAT, M.P.",MADHYA PRADESH,22.7,7.4,7.4,450,2.2,0.4,39,67
1214,"WAINGANGA AT CHINDWARA, M.P.",MADHYA PRADESH,21.4,7.3,8,386,2.3,1,15,95
3330,"WAINGANGA AT CHHAPARA, NEAR W/S INTAKE POINT, JABALPUR",MADHYA PRADESH,23,7.7,8.1,292,1.5,4.8,0,36
1910,WAINGANGA AFTER CONLUENCE WITH KANHAN,MAHARASHTRA,33.3,4.8,8.3,482,10.8,6,170,277
2173,WAINGANGA RIVER U/S OF ELLORA PAPER MILL.,MAHARASHTRA,28.1,5.9,8.1,341,9.1,1.2,82,132
2172,WAINGANGA RIVER D/S OF ELLORA PAPER MILL.,MAHARASHTRA,27.3,5.3,8.2,273,9.6,1.7,98,180
2175,"WAINGANGA U/S OF GAURAV PAPER MILLS, NEAR JACKWELL.",MAHARASHTRA,25.1,6.2,8.2,393,9.1,2.4,110,170
2176,"WAINGANGA D/S OF GAURAV PAPER MILLS, NEAR JACKWELL.",MAHARASHTRA,24.3,5.3,8.2,388,10.6,1.2,140,240
11,"WAINGANGA AT ASHTI, MAHARASHTRA",MAHARASHTRA,24.1,5.7,8.2,366,8.6,0.9,170,280
1908,KOLAR BEFORE CONFLUENCE TO KANHAN AT KAMPTEE,MAHARASHTRA,24.1,5.5,8.2,607,10.4,2.9,114,193
3312,"KANHAN AT CHINDWARA BEFORE MIXING BOREGAON GROWTH CENTRE NALLA, JABALPUR",MADHYA PRADESH,23.7,7.4,7.7,403,2.1,0.3,39,127
1909,KANHAN D/S OF NAGPUR,MAHARASHTRA,33.8,4.8,8.2,477,10.5,6.7,131,221
2170,"KANHAN RIVER U/S OF M/S VIDHARBHA PAPER MILL, SINORA.",MAHARASHTRA,24.4,5.5,8.2,534,10.1,2.7,103,157
2171,"KANHAN RIVER D/S OF M/S VIDHARBHA PAPER MILL, SINORA.",MAHARASHTRA,24.9,5.1,8.2,523,11.1,2.7,140,222
1913,PURNA AT DHUPESHWAR,MAHARASHTRA,26.3,4.7,8.4,940,15.1,11.5,183,273
2700,"PURNA RIVER NEAR ACHALPUR-AMRAVATI ROAD BRIDGE, ASEGAON, CHANDUR BAZAR, AMRAVATI",MAHARASHTRA,23.2,4.2,8.4,685,13,8.4,363,420
1315,"NIRA AT PULGAON COTTON MILL, WARDHA, MAHARASHTRA",MAHARASHTRA,31.6,5.1,8.3,435,9.7,2.5,152,231
2372,"KINNERASANI A/C OF KTPS ASH POND EFFLUENTS, KHAMMAM",ANDHRA PRADESH,21.6,6.9,7.5,469,0.8,0.5,2,1100
2373,"SABARI AT KUNAVARAM, KHAMMAM",ANDHRA PRADESH,21,7.6,7.6,207,NA,0,2,400
2657,"BINDUSARA RIVER AT BEED NEAR INTAKE WATER PUMP HOUSE AT DAM, PALIGAON, BEED",MAHARASHTRA,27.6,6.5,7.7,1127,5.7,0.3,3,108
2660,"DARNA RIVER AT CHEHEDI PUMPING STATION, NASHIK.",MAHARASHTRA,22.1,5.2,7.9,306,4.5,2.2,47,136
2661,"DARNA RIVER AT ASWALI ( DARNA DAM), IGATPURI, NASHIK",MAHARASHTRA,21.6,4.7,7.9,262,3.4,1.2,33,106
2662,"DARNA RIVER AT MES SITE PUMPING STATION, BHAGUR, NASHIK.",MAHARASHTRA,21.9,5.5,8,247,3.7,1.1,39,104
2663,"DARNA RIVER AT BHAGUR PUMPING STATION NEAR PANDHURLI BRIDGE, BHAGUR, NASHIK.",MAHARASHTRA,22.7,5.4,8.1,244,3.6,1,44,117
2664,"DARNA RIVER AT SANSARI, NASHIK.",MAHARASHTRA,21.3,4.9,7.9,272,3.4,0.6,59,155
2697,"PENGANGA RIVER NEAR WATER SUPPLY SCHEME OF UMARKHED MC BELKHED, UMARKHED, YAVATMAL",MAHARASHTRA,25,5.8,8.3,506,8.5,2.6,14,34
2698,"PENGANGA RIVER D/S OF ISAPUR DAM, ISAPUR, PUSAD, YAVATMAL",MAHARASHTRA,24.6,5.1,8.3,534,9.5,3.2,26,50
2699,"PENGANGA RIVER AT MEHKAR-BULDANA ROAD BRIDGE, MEHKAR, BULDANA",MAHARASHTRA,25.3,4.9,8.4,966,12.8,11.7,133,247
2722,"WENA RIVER  AT U/S OF MOHATA MILLS, NEAR RAILWAY BRIDGE, HINGANGHAT",MAHARASHTRA,31.2,5.2,8.3,432,9.8,2.3,113,186
2723,"WENA RIVER AT D/S OF MOHATA MILLS, NR RD BRG ON HINGANGHAT-WADNER ROAD",MAHARASHTRA,31.1,4.7,8.2,432,11.2,2.3,150,246
1185,"GHATPRABHA AT D/S OF MUDHOL RD. CROSS BDG., KARNATAKA",KARNATAKA,28.9,7,8,736,1.5,4.9,700,1250
1163,"GHATPRABHA AT W.A. POINT TO GOKAK TOWN,KARNATAKA",KARNATAKA,27.5,7.1,7.9,447,1.5,1,558,1040
1187,"MALPRABHA AT D/S OF KHANAPUR VILLAGE,KARNATAKA",KARNATAKA,27.5,6.8,7.4,237,4.5,0.2,796,1460
1164,"MALPRABHA AT WATER ABSTR. PT. TO HUBLI,DHARWAR,KARNATAKA",KARNATAKA,28.5,6.6,7.7,371,1.2,0.6,620,1080
1186,"MALPRABHA AT D/S OF AIHOLE TOWN, KARNATAKA",KARNATAKA,28.5,6.9,8,1004,3.3,2.1,740,1390
2764,"MALPRABHA AT BADAMI BRIDGE, KARNATAKA",KARNATAKA,27,7.1,7.9,1017,4,1.5,732,1350
38,"TUNGHABHADRA AT HONNALI BRIDGE, KARNATAKA",KARNATAKA,25.8,7.2,7.9,286,2.4,0.1,71,157
1029,"TUNGHABHADRA AT HARALAHALLI BRIDGE, KARNATAKA",KARNATAKA,26.1,7,8,415,2.9,0.3,93,191
29,"TUNGHABHADRA AT ULLANUR, KARNATAKA",KARNATAKA,29.9,7.2,7.9,613,1.9,0.2,927,1542
2768,"TUNGABHADRA AT D/S OF HPF, KARNATAKA",KARNATAKA,27,6.5,7.9,536,6,0.4,179,386
2769,"TUNGABHADRA AT JACKWELL POINT, KARNATAKA",KARNATAKA,26.9,6.5,7.9,398,4,0.2,143,288
2770,"TUNGABHADRA AT HARIHAR WATER SUPPLY INTAKE, KARNATAKA",KARNATAKA,26.5,6.7,8,383,3.6,0.2,129,279
2776,"TUNGABHADRA AT D/S OF GANGAWATHI, KARNATAKA",KARNATAKA,29.8,7.2,8.1,448,1.9,0.2,808,1425
2766,"TUNGABHADRA AT NEW BRIDGE, KARNATAKA",KARNATAKA,26.1,7.2,7.9,313,2.7,0.1,69,152
2767,"TUNGABHADRA AT U/S OF HPF, KARNATAKA",KARNATAKA,26.2,7.2,7.9,290,2.9,0.1,55,133
1174,"TUNGHABHADRA AT KURNOOL U/S, BAVAPURAM, A.P.",ANDHRA PRADESH,27.7,7.1,8.1,956,2.2,2.5,18,544
1785,"TUNGHABHADRA AT MANTHRALAYAM , KURNOOL DIST., A.P",ANDHRA PRADESH,27,6.9,8.2,999,3,3.1,23,620
1168,"TUNGHA AT D/S OF SHIMOGA TOWN, KARNATAKA",KARNATAKA,27.6,6,7.8,166,3.5,0.2,273,734
1896,CONFLUENCE POINT OF TUNGA AND BHADRA AT KUDLI,KARNATAKA,28.5,6.4,8,219,3.3,0.3,150,291
1091,BHADRA AT MALLESWARAM D/S OF KIOCL KARNATAKA,KARNATAKA,21.8,5.5,13.7,223,1,0.1,718,2946
1387,"BHADRA AT D/S OF BHADRAVATHI, KARNATAKA",KARNATAKA,29.5,5.8,7.7,245,4.2,0.2,867,1542
1169,"BHADRA AT D/S OF KIOCL ROAD BRIDGE, NEAR HOLEHUNNUR,KARNATAKA",KARNATAKA,28.8,6,7.8,226,3.3,0.2,145,302
2765,"BHADRA AT U/S OF MPM, KARNATAKA",KARNATAKA,29.6,6.5,8,154,2,0.2,58,130
2771,"BHADRA AT U/S OF KIOCL, KARNATAKA",KARNATAKA,21.5,5.5,7.4,185,1,0.1,532,2064
1172,"MUSI U/S AT HYDERABAD, A.P.",ANDHRA PRADESH,17,6,8,416,4.3,0,NA,NA
1173,"MUSI D/S AT HYDERABAD, A.P.",ANDHRA PRADESH,17,0,7.4,1408,59,0,NA,NA
2339,"RIVER MUSI AT NAGOLE,RANGAREDDY",ANDHRA PRADESH,17.2,0.2,7.5,1255,69,0,NA,NA
3082,"RIVER MUSI RESERVOIR AT KASANIGUDA,  NALGONDA, A.P.",ANDHRA PRADESH,28.6,5.4,8.2,1062,2.1,2.6,21,67
1178,"PALLERU BEFORE CONFL. WITH KRISHNA, JAGGAYYAPET, A.P.",ANDHRA PRADESH,25.5,6.9,8,838,0.9,0.6,2,1450
1177,"MUNERU BEFORE CONFL. WITH KRISHNA, NANDIGAMA, A.P.",ANDHRA PRADESH,24,6.6,8.3,905,0.7,0.5,2,1400
1895,KAGINA D/S OF SEWAGE DISPOSAL POINT,KARNATAKA,29.1,6.9,8.3,596,2.6,0.3,842,1425
2777,"KAGINA AT SHAHABAD BRIDGE, KARNATAKA",KARNATAKA,29,6.8,8.4,575,2.6,0.4,696,1483
2349,"RIVER NAKKAVAGU, BACHUGUDEM,MEDAK",ANDHRA PRADESH,28.3,4.8,7.9,1868,5.6,10.3,21,181
2351,"RIVER KUNDU, NANDYAL, NEAR OVER BDG., KURNOOL",ANDHRA PRADESH,27,6.8,7.8,648,3.6,5,14,554
2763,"ASANGI NALLA AT ASANGI VILLAGE, KARNATAKA",KARNATAKA,27.3,7,8.1,734,1.3,0.9,820,1460
1549,"SALAULIM LAKE AT SALAULIM - SANGUEM, GOA",GOA,31.6,7.3,7.2,46,1.2,1.23,108,413
2269,"MAYEM LAKE, BICHOLIM",GOA,30.8,7.1,6.7,48,1.4,0.26,7453,12640
3175,ANJUNEM LAKE,GOA,30.2,7.4,6.9,80,0.8,0,160,329
3176,RUMDER LAKE,GOA,29.7,4.1,6.7,141,2,1,4428,7894
3177,CARAMBOLIM LAKE,GOA,29.1,2.7,6.4,137,2.2,0.77,3207,4719
3178,RAIA LAKE,GOA,31.6,5.9,6.6,110,2.7,1,1666,12638
3179,SAIPEM LAKE,GOA,30.3,1.3,6.6,350,2.9,0,18857,32714
3180,CURTORIM LAKE,GOA,31.6,4.9,6.5,148,2.8,1.05,2864,4218
1977,CITY LAKE OF NADIAD,GUJARAT,26.7,7.15,7.8,1371,14,0,NA,NA
1343,AHMEDABAD,GUJARAT,27.6,6.5,8.6,649,21.8,4,5064,2487
1344,AHMEDABAD,GUJARAT,29.5,7.03,8.1,320,29.5,3.23,783,12400
1345,"AJWAH LAKE AT SARI SAYAJI SABVAR, BARODA",GUJARAT,28,7.8,8,2225,5.5,2,2568,2448
1346,"SURSAGAR LAKE AT BARODA, GUJARAT",GUJARAT,29.3,6.4,8,23125,4.8,2,4500,178
1972,"NALSAROVAR LAKE (SANAND), DIST AHMEDABAD",GUJARAT,27.8,7.2,7.7,1448,16.3,6,NA,664
1973,"BINDUSAROVAR, SIDDHPUR (DIST PATAN)",GUJARAT,25,7.3,8.5,169,1,1,NA,NA
1974,SAHASTRALING SAROVAR - PATAN,GUJARAT,26,7.1,8.5,2440,1,1,NA,NA
3199,HAMISAR TALAV,GUJARAT,28,5.5,8.4,NA,1,0,NA,NA
1975,LAKHOTA TALAV,GUJARAT,28.3,6.8,8,1870,13,1,4,29
1976,NARSINHMEHTA TALAV,GUJARAT,28.5,7.1,7.5,2100,21,1,4,95
1978,RANJITNAGAR TALAV,GUJARAT,29,5.7,7.6,2980,11,6.78,NA,NA
3206,MAHI AT SHERKHI BRIDGE,GUJARAT,NA,4.2,8.7,NA,0.3,0,NA,NA
3201,MALAV TALAV,GUJARAT,27,3.2,8.4,NA,1,0,NA,NA
3202,VHERAIMATA TALAV,GUJARAT,26,3.4,8.4,NA,1,0,NA,NA
2079,DHUDHIA TALAV,GUJARAT,25.3,4.7,7.8,NA,21,0,NA,250
2077,"MOTICHER LAKE NEAR KAKAARPAR ATOMIC POWER STATION, DIST SURAT",GUJARAT,28.4,3.5,8.1,NA,9.5,0,NA,313
2078,"KUWADAVA LAKE,VILL KUWADAVA,DIST.RAJKOT",GUJARAT,26,5,7.6,NA,8,0,NA,200
3198,"GOMTI LAKE,OPP,RANCHODAJI TEMPLE,DAKOR,KHEDA",GUJARAT,28,4.4,8,NA,1.7,0,NA,NA
1979,"OLPAD, VILLAGE POND OLPAD, SURAT",GUJARAT,29,5.9,7.8,1453,7.3,6.45,30,7
1971,THOL TANK (KALOL) (DIST MEHSANA),GUJARAT,27.8,2.4,8,351,6.6,6.22,24,959
1373,"UPPER LAKE AT BHOPAL (INTAKE POINT), M.P.",MADHYA PRADESH,26,8.3,8.3,270,2.1,3,4,87
1374,LOWER LAKE AT BHOPAL OUTLET M.P.,MADHYA PRADESH,25.7,9.1,8,461,5.5,1.06,7,363
1466,MULTAI TANK LAKE AT VILLA. KHARI ON BETUL-AMRAVATI ROAD M.P.,MADHYA PRADESH,25,5.8,7.7,872,1.9,12,7,170
2128,KHANDARI RESERVOIR WATER OFF TAKE POINT,MADHYA PRADESH,22,7.6,7.5,408,2,1.92,7,55
2129,PERIAT TANK JABALPUR,MADHYA PRADESH,22,6.8,7.5,428,2.1,2,13,82
2135,GOVINDGARH TANK,MADHYA PRADESH,29.2,7.5,7.4,59,3.1,5,26,364
2136,"SHAHPURA LAKE AT WEIR NEAR AYUSHMAN HOSPITAL, BHOPAL",MADHYA PRADESH,27,7.6,7.9,680,6.4,17,8,382
2137,UPPER LAKE AT YATCH CLUB,MADHYA PRADESH,26.1,8.2,8.3,263,2.3,3,4,97
2138,UPPER LAKE AT KARBALA CLUB,MADHYA PRADESH,26.8,8.2,8.2,277,2.2,2,4,88
2139,UPPER LAKE AT BAIRAGARH CLUB,MADHYA PRADESH,25.4,7.1,8.1,273,2.2,4,4,94
2140,"KERWA DAM NEAR REST HOUSE, BPL",MADHYA PRADESH,26.7,7.3,7.9,301,1.8,6.66,3,93
2141,JANUNIA TALAB NEAR W/S,MADHYA PRADESH,22.5,4.4,7.7,464,4.4,12,5,260
3299,HANUMANTAL JABALPUR,MADHYA PRADESH,22.3,7.3,7.9,502,7.6,2,12,121
3300,"RANITAL TALAB, JABALPUR",MADHYA PRADESH,22.5,7.4,7.7,495,5,3,5,200
3301,MOTI TALAB AT BALAGHAT,MADHYA PRADESH,22.1,6.9,7.5,448,4.3,2,8,49
3303,"RANI TALAB, REWA",MADHYA PRADESH,28,6.9,7.4,NA,2.3,6,NA,212
3164,"NEHRU NAGAR TALAB, BHILAI",CHHATTISGARH,28.2,6.9,7.3,NA,18.6,1,NA,399
3163,"HITKASA TAILING  DAM, RAJHARA",CHHATTISGARH,26.5,6.3,7.2,NA,10.3,1,NA,652
1285,"PICHOLA LAKE AT UDAIPUR (WATER INTAKE POINT), RAJASTHAN",RAJASTHAN,23.8,5.3,8.2,572,1.5,1,7,65
1286,UDAISAGAR LAKE AT UDAIPUR (INTAKE PT.) RAJASTHAN,RAJASTHAN,23.9,4.6,8.4,1463,3.2,1,16,557
1414,"PUSHKAR LAKE, RAJASTHAN",RAJASTHAN,19.9,4.7,8.2,321,1.5,1,12,242
1481,"FATEH SAGAR LAKE AT UDAIPUR INTAKE POINT OF PHED,RAJASTHAN",RAJASTHAN,24.3,5,8.4,583,1.2,1,4,12
1714,"KAYALANA JHEEL JODHPUR, RAJASTHAN",RAJASTHAN,23.2,8.4,8.3,300,1,2,5,21
1716,"NAKKI LAKE, MT. ABU, RAJASTHAN",RAJASTHAN,21.7,5.7,8,295,1.1,1,5,9
2935,"LAKE JET SAGAR, BUNDI, RAJASTHAN",RAJASTHAN,26.1,4.5,7.9,483,1.5,1,5,15
2936,"JAISAMAND LAKE, ALWAR, RAJASTHAN",RAJASTHAN,24.4,5,8,314,1.9,2,4,7
2937,"LAKE SILISERH, ALWAR, RAJASTHAN",RAJASTHAN,30.3,5.1,7.9,266,0.9,1.08,4,7
2938,"LAKE RAJSAMAND, RAJSAMAND- POINT NO. 1, RAJSAMAND, RAJASTHAN",RAJASTHAN,21.3,5,8.6,604,1.2,2.29,4,11
2939,"LAKE RAJSAMAND, RAJSAMAND- POINT NO. 2, RAJSAMAND, RAJASTHAN",RAJASTHAN,21.2,4.9,8.6,593,1.1,1,4,7
2940,"GAPE- SAGAR LAKE, DUNGARPUR, RAJASTHAN",RAJASTHAN,23.2,4.4,8.1,538,1.2,1,5,14
2941,"LAKE JAISAMAND, SALUMBER, UDAIPUR, POINT NO. 1, RAJASTHAN",RAJASTHAN,22.9,5.6,8.4,591,1.1,3,4,8
2942,"LAKE JAISAMAND, SALUMBER, UDAIPUR, POINT NO. 2, RAJASTHAN",RAJASTHAN,22.9,5.8,8.5,588,1.2,3,4,6
2943,"LODHA TALAB, BANSWARA- DUNGARPUR ROAD, BANSWARA, RAJASTHAN",RAJASTHAN,28.7,4.1,7.9,1133,2.3,2,7,67
2944,"JALMAHAL, JAIPUR, RAJASTHAN",RAJASTHAN,24.3,3.5,8.9,2004,6.5,1,13,248
